#DEPTH,lithology,lithology_CNN,CASE,Fluid_KNN
1529.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1529.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1529.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1529.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1529.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1529.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1530,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1530.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1530.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1530.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1530.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1530.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1530.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1530.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1531,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1531.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1531.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1531.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1531.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1531.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1531.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1531.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1532,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1532.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1532.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1532.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1532.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1532.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1532.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1532.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1533,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1533.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1533.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1533.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1533.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1533.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1533.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1533.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1534,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1534.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1534.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1534.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1534.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1534.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1534.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1534.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1535,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1535.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1535.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1535.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1535.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1535.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1535.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1535.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1536,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1536.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1536.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1536.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1536.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1536.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1536.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1536.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1537,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1537.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1537.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1537.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1537.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1537.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1537.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1537.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1538,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1538.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1538.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1538.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1538.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1538.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1538.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1538.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1539,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1539.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1539.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1539.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1539.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1539.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1539.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1539.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1540,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1540.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1540.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1540.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1540.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1540.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1540.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1540.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1541,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1541.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1541.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1541.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1541.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Water Layer
1541.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1541.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1541.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1542,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1542.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1542.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1542.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1542.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1542.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1542.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1542.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1543,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1543.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1543.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1543.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1543.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1543.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1543.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1543.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1544,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1544.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1544.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1544.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1544.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1544.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1544.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1544.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1545,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1545.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1545.25,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1545.375,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1545.5,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1545.625,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1545.75,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1545.875,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1546,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
1546.125,Fine Sandstone,Fine Sandstone,Oil-Water Layer,Oil-Water Layer
